,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,-46.1927,168.8643,19.8,49,53,3.05
1,Cloquet,46.7216,-92.4594,2.43,97,90,3.6
2,Abu Samrah,35.3029,37.1841,10.56,50,0,2.03
3,Lüderitz,-26.6481,15.1594,19.35,50,0,8.31
4,Buchanan,5.8808,-10.0467,25.3,86,63,0.77
5,São Filipe,14.8961,-24.4956,24.47,76,24,3.54
6,Atuona,-9.8,-139.0333,25.68,76,10,5.22
7,Fukuechō,32.6881,128.8419,12.2,87,75,4.63
8,Saskylakh,71.9167,114.0833,-31.35,99,30,1.93
9,Klaksvík,62.2266,-6.589,6.51,78,100,15.22
10,Médéa,36.2642,2.7539,7.25,77,76,1.96
11,Iracoubo,5.4802,-53.2011,25.3,90,91,3.26
12,Punta Arenas,-53.15,-70.9167,10.06,57,0,5.14
13,Tamiahua,21.2667,-97.45,24.16,75,57,2.81
14,Albany,42.6001,-73.9662,10.97,70,100,4.47
15,Libreville,0.3925,9.4537,24.01,100,40,0.51
16,Cape Town,-33.9258,18.4232,17.83,85,0,1.79
17,Pevek,69.7008,170.3133,-19.23,93,76,1.65
18,Coquimbo,-29.9533,-71.3436,12.85,87,0,2.06
19,Port Hedland,-20.3167,118.5667,31.03,11,33,8.75
20,Cham,47.1821,8.4636,4.12,96,40,0.0
21,Butaritari,3.0707,172.7902,28.1,72,44,7.82
22,Blagoveshchensk,50.2667,127.5333,-0.66,43,40,3.0
23,Bluff,-46.6,168.3333,15.56,67,42,10.84
24,Catuday,16.2923,119.8062,28.63,66,78,4.31
25,Ostrovnoy,68.0531,39.5131,0.9,91,98,7.85
26,Barrow,71.2906,-156.7887,-7.99,73,90,7.2
27,Port Alfred,-33.5906,26.891,17.67,90,60,1.57
28,Pascagoula,30.3658,-88.5561,19.0,88,1,4.12
29,Ushuaia,-54.8,-68.3,11.81,40,20,5.14
30,Clyde River,70.4692,-68.5914,-16.71,95,73,4.33
31,Hermanus,-34.4187,19.2345,16.61,85,31,2.86
32,Palmer,42.1584,-72.3287,11.34,59,90,1.34
33,Lagoa,39.05,-27.9833,19.77,86,48,5.74
34,Rikitea,-23.1203,-134.9692,23.79,69,100,2.93
35,Boa Vista,2.8197,-60.6733,28.99,61,75,4.12
36,Bethel,41.3712,-73.414,14.96,81,90,1.79
37,Bacolod City,10.6667,122.95,30.69,68,91,5.1
38,Bilibino,68.0546,166.4372,-11.16,86,100,0.91
39,Ribeira Grande,38.5167,-28.7,20.57,87,61,10.28
40,Yar-Sale,66.8333,70.8333,-10.57,95,97,5.81
41,Argayash,55.4888,60.8767,-6.17,85,100,4.11
42,Busselton,-33.65,115.3333,17.8,43,100,3.02
43,Sola,-13.8833,167.55,27.68,75,18,3.38
44,Geraldton,-28.7667,114.6,30.23,14,0,4.63
45,Acanceh,20.8167,-89.45,25.98,81,75,1.59
46,Safi,32.2994,-9.2372,15.29,83,0,4.5
47,Kovūr,14.4833,79.9833,26.18,85,98,1.84
48,Nikolskoye,59.7035,30.7861,6.6,94,100,3.72
49,Tuktoyaktuk,69.4541,-133.0374,-10.0,92,75,5.14
50,Maturin,9.75,-63.1767,22.31,95,42,2.3
51,Fayaoué,-20.65,166.5333,25.51,75,17,1.25
52,Cherskiy,68.75,161.3,-10.71,85,100,1.85
53,Arraial do Cabo,-22.9661,-42.0278,19.4,86,100,4.19
54,Upernavik,72.7868,-56.1549,-8.45,85,100,8.46
